Point,Corner,Pass/Fail,vop_final,vom_final
1,nom,,430.1e-3,534.4e-3
2,nom,,423.9e-3,564e-3
3,nom,,422.8e-3,574.4e-3
4,nom,,444.5e-3,568.5e-3
5,nom,,426.7e-3,561.8e-3
6,nom,,428.2e-3,550.4e-3
7,nom,,405.8e-3,563.7e-3
8,nom,,414.3e-3,543.4e-3
9,nom,,419.9e-3,591e-3
10,nom,,418.3e-3,594.3e-3
11,nom,,420.2e-3,556.6e-3
12,nom,,416.2e-3,576.5e-3
13,nom,,439.4e-3,550.4e-3
14,nom,,400.9e-3,576.3e-3
15,nom,,402.8e-3,565.1e-3
16,nom,,401e-3,570.8e-3
17,nom,,434.2e-3,570.6e-3
18,nom,,417.6e-3,567.1e-3
19,nom,,404.7e-3,555.1e-3
20,nom,,429.1e-3,571.7e-3
21,nom,,425.9e-3,573e-3
22,nom,,444.9e-3,563.8e-3
23,nom,,425.1e-3,588.5e-3
24,nom,,404.7e-3,544.7e-3
25,nom,,406.8e-3,573.3e-3
26,nom,,426.1e-3,589.8e-3
27,nom,,447.7e-3,550.4e-3
28,nom,,422.1e-3,555.9e-3
29,nom,,424.3e-3,560.2e-3
30,nom,,425.2e-3,560.3e-3
31,nom,,448.7e-3,568.4e-3
32,nom,,415.1e-3,560.6e-3
33,nom,,416.5e-3,578.7e-3
34,nom,,424e-3,562.5e-3
35,nom,,415.8e-3,569.6e-3
36,nom,,426.1e-3,551.9e-3
37,nom,,449.1e-3,565.6e-3
38,nom,,441.1e-3,582.6e-3
39,nom,,421.7e-3,544.7e-3
40,nom,,442.3e-3,566.5e-3
41,nom,,403.9e-3,548.8e-3
42,nom,,408.3e-3,556.2e-3
43,nom,,442.9e-3,566.5e-3
44,nom,,397.1e-3,585.6e-3
45,nom,,414.5e-3,553.2e-3
46,nom,,431.9e-3,571.3e-3
47,nom,,417.6e-3,586e-3
48,nom,,430.7e-3,560.8e-3
49,nom,,428.7e-3,543.1e-3
50,nom,,437.8e-3,565.1e-3
51,nom,,418.1e-3,575.5e-3
52,nom,,415.5e-3,542.3e-3
53,nom,,412.6e-3,562.7e-3
54,nom,,398.6e-3,555.6e-3
55,nom,,409.2e-3,533.9e-3
56,nom,,441.7e-3,579.1e-3
57,nom,,410.5e-3,533.8e-3
58,nom,,426.5e-3,536.5e-3
59,nom,,420.9e-3,547.9e-3
60,nom,,419.5e-3,539.4e-3
61,nom,,424.9e-3,554.5e-3
62,nom,,434.2e-3,535.6e-3
63,nom,,420.3e-3,549.6e-3
64,nom,,419e-3,540.2e-3
65,nom,,436.8e-3,576.8e-3
66,nom,,421.2e-3,563.6e-3
67,nom,,402.5e-3,552.5e-3
68,nom,,423.9e-3,556.2e-3
69,nom,,442.9e-3,561.6e-3
70,nom,,424.2e-3,557.1e-3
71,nom,,432e-3,564.3e-3
72,nom,,428.9e-3,570.5e-3
73,nom,,416.1e-3,558.8e-3
74,nom,,428.6e-3,546.8e-3
75,nom,,426.5e-3,566.8e-3
76,nom,,430.3e-3,575.6e-3
77,nom,,432.7e-3,580.5e-3
78,nom,,433.9e-3,592.7e-3
79,nom,,422.4e-3,594.3e-3
80,nom,,421.8e-3,554e-3
81,nom,,410.9e-3,551.4e-3
82,nom,,440e-3,550.8e-3
83,nom,,420.9e-3,565.1e-3
84,nom,,437.6e-3,578.1e-3
85,nom,,439.3e-3,562.8e-3
86,nom,,413.7e-3,570.2e-3
87,nom,,417.1e-3,565.1e-3
88,nom,,412.3e-3,551.8e-3
89,nom,,417e-3,564.1e-3
90,nom,,439.4e-3,560.8e-3
91,nom,,436e-3,559.4e-3
92,nom,,431.7e-3,563.8e-3
93,nom,,434e-3,581.4e-3
94,nom,,424.8e-3,534.6e-3
95,nom,,417.8e-3,562.3e-3
96,nom,,437.9e-3,565.3e-3
97,nom,,418.2e-3,558.1e-3
98,nom,,416.4e-3,543.9e-3
99,nom,,420.5e-3,540.6e-3
100,nom,,419.1e-3,559.1e-3

